Rank,School,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type,Rank,School,Location,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
94,Luther College,Private,37450,2473,70.2,88,77,College,91,University of Massachusetts at Amherst,Amherst MA,Public,13258,28236,62.6,88,70,University 
94,Westmont College,Private,38510,1355,66,87,78,College,91,University of San Diego,San Diego CA,Private,41392,8105,42.6,88,76,University 
97,Cornell College,Private,36430,1180,52.9,81,71,College,97,Binghamton University at SUNY,Binghampton NY,Public,8144,15308,42.9,91,79,University 
97,Hampden-Sydney College,Private,37352,1080,55.6,79,68,College,97,Drexel University,Philadelphia PA,Private,37505,18067,74.9,84,65,University 
97,Washington and Jefferson College,Private,39710,1429,40.8,85,74,College,97,University of Missouri,Columbia MO,Public,9415,34748,81.5,85,71,University 
100,Albion College,Private,35866,1382,70.2,80,72,College,97,University of New Hampshire,Durham NH,Public,16496,15301,77.9,87,77,University 
100,Augustana College,Private,35835,2551,68.8,85,78,College,101,Iowa State University,Ames IA,Public,7726,30748,82.5,86,71,University 
100,Bennington College,Private,45680,826,63,86,64,College,101,Loyola University Chicago,Chicago IL,Private,35503,15720,81.2,86,70,University 
100,Calvin College,Private,28250,4008,75.6,87,77,College,101,North Carolina State University at Raleigh,Raleigh NC,Public,8206,34340,49.6,91,71,University 
100,Hope College,Private,28720,3343,85.1,89,77,College,101,St. Louis University St.,Louis MO,Private,36726,13981,63.7,86,70,University 
100,Juniata College,Private,37170,1565,66.4,86,75,College,101,University of Kansas,Lawrence KS,Public,10107,27135,92.3,79,64,University 
100,Ohio Wesleyan University,Private,40510,1821,73.6,83,68,College,101,University of Nebraska at Lincoln,Lincoln NE,Public,8068,24207,64.4,84,65,University 
107,Drew University,Private,43918,2447,85.1,80,69,College,101,University of Oklahoma,Norman OK,Public,7341,31086,79.1,84,66,University 
107,Principia College,Private,25980,489,86.7,84,76,College,101,University of Tennessee,Knoxville TN,Public,9684,29833,67.3,85,66,University 
107,Washington College,Private,41120,1557,66.4,84,69,College,109,Illinois Institute of Technology,Chicago IL,Private,39842,7683,55,93,68,University 
110,Goucher College,Private,39084,2254,71.7,81,66,College,109,University at Buffalo at SUNY,Buffalo NY,Public,7989,28952,56.9,88,70,University 
110,Hampshire College,Private,46625,1461,63.7,83,64,College,109,University of Oregon,Eugene OR,Public,9763,24518,74.2,85,68,University 
110,Hollins University,Private,33320,794,66,72,56,College,112,University of California at Riverside,Riverside CA,Public,12960,21005,62.7,87,70,University 
110,Lake Forest College,Private,38300,1570,56.9,84,70,College,112,University of Dayton,Dayton OH,Private,35800,11159,55.2,87,78,University 
110,Sweet Briar College,Private,33605,739,79.3,77,62,College,112,University of South Carolina,Columbia SC,Public,10816,31288,60.6,87,72,University 
115,Birmingham-Southern College,Private,30690,1231,80.6,81,65,College,112,University of St. Thomas St.,Paul MN,Private,34013,10316,86.7,88,74,University 
115,Hanover College,Private,31760,1123,63.9,81,65,College,112,University of the,PacificStockton CA,Private,39810,6652,37.8,85,63,University 
115,Stonehill College,Private,36160,2602,79.9,89,80,College,117,Michigan Technological University,Houghton MI,Public,13728,6947,76.6,83,66,University 
115,Susquehanna University,Private,38780,2215,75.5,85,74,College,117,University of San Francisco,San Francisco CA,Private,40294,10017,69.2,85,67,University 
115,Westminster College,Private,32445,1518,56.3,86,78,College,119,University of Arizona,Tucson AZ,Public,10391,40223,76.9,78,61,University 
120,Coe College,Private,35730,1367,66.7,80,70,College,119,University of Kentucky,Lexington KY,Public,10110,28034,67.3,81,58,University 
120,Ripon College,Private,31602,931,77.5,84,72,College,121,The Catholic University of America,Washington DC,Private,38526,6838,63.2,81,67,University 
120,St. Anselm College,Private,35204,1954,74.7,86,74,College,121,Clarkson University,Potsdam NY,Private,40610,3604,76.1,87,71,University 
123,Linfield College,Private,36240,1663,82.8,83,67,College,121,Colorado State University,Fort Collins CO,Public,9313,30647,74.7,84,63,University 
123,St. John's College 1,Private,45004,NA,78.1,90,67,College,121,DePaul University,Chicago IL,Private,33990,24966,62.3,86,68,University 
123,Wittenberg University,Private,38030,1894,91.2,78,65,College,121,Duquesne University,Pittsburgh PA,Private,31385,9956,74.7,87,74,University 
126,Alma College,Private,32785,1464,71.9,80,66,College,121,Temple University,Philadelphia PA,Public,14340,36744,67.2,88,66,University 
126,Berry College,Private,29090,2166,66.1,77,62,College,121,University of Utah,Salt Lake City UT,Public,7534,32388,82.6,86,59,University 
126,McDaniel College,Private,36960,3284,64.1,82,74,College,128,Missouri University of Science & Technology,Rolla MO,Public,9510,7647,89.6,85,65,University 
126,Morehouse College,Private,25460,2377,66.4,83,56,College,128,Polytechnic Institute of New York University,Brooklyn NY,Private,41328,4652,62.1,86,62,University 
126,Presbyterian College,Private,33650,1403,57.8,83,68,College,128,Seton Hall University,South Orange NJ,Private,35820,9830,84.4,82,67,University 
126,Roanoke College,Private,36222,2060,69.4,79,65,College,128,University at Albany at SUNY,Albany NY,Public,8140,17316,55.5,85,64,University 
126,Siena College,Private,31368,3267,57.5,88,73,College,128,University of Arkansas,Fayetteville AR,Public,7818,24537,63.5,83,60,University 
126,Whittier College,Private,40096,2448,63.6,82,67,College,128,University of Illinois at Chicago,Chicago IL,Public,13406,27875,63.9,80,58,University 
134,Central College,Private,30700,1486,65.4,80,69,College,128,Washington State University,Pullman WA,Public,12545,27679,76,83,67,University 
134,Randolph College,Private,33260,645,83.2,76,57,College,135,Hofstra University,Hempstead NY,Private,37400,11023,58.7,78,61,University 
134,Randolph-Macon College,Private,34850,1312,54,78,56,College,135,Kansas State University,Manhattan KS,Public,8585,24378,99,81,58,University 
134,St. Norbert College,Private,31866,2287,80.4,83,75,College,135,Louisiana State University at Baton Rouge Baton,Rouge LA,Public,7873,30225,76.2,84,67,University 
138,Concordia College-Moorhead,Private,32814,2631,77.7,83,68,College,135,New School,New York NY,Private,40928,10575,65,81,65,University 
138,Gordon College,Private,33230,1909,40.3,84,74,College,135,Ohio University,Athens OH,Public,10380,27402,77.7,81,64,University 
138,Moravian College,Private,35518,1909,78.5,78,74,College,135,University of Cincinnati,Cincinnati OH,Public,10784,31798,67.1,85,62,University 
141,Eckerd College,Private,37362,1893,71,80,60,College,141,George Mason University,Fairfax VA,Public,9908,32961,65.8,86,66,University 
141,Goshen College,Private,28500,928,60,81,70,College,142,Arizona State University,Tempe AZ,Public,10002,73378,87.9,82,57,University 
141,Grove City College,Private,14880,2506,84.2,91,82,College,142,Howard University,Washington DC,Private,22683,NA,53.9,82,65,University 
141,Houghton College,Private,27728,1165,73.4,86,67,College,142,Mississippi State University Mississippi,State MS,Public,6722,20365,69.3,82,60,University 
141,Wells College 1,Private,35900,NA,62.7,71,59,College,142,Oklahoma State University,Stillwater OK,Public,7441,25544,77.6,79,62,University 
146,Fisk University 1,Private,20391,NA,100,73,54,College,142,Oregon State University,Corvallis OR,Public,8538,26393,78.8,83,60,University 
146,Georgetown College,Private,32310,1543,82.2,76,60,College,142,Rutgers,Newark NJ,Public,12998,12011,57.5,86,61,University 
146,Nebraska Wesleyan University,Private,27240,2071,79,80,65,College,142,St. John Fisher College,Rochester NY,Private,28430,4008,64.2,83,75,University 
146,St. Vincent College,Private,30351,1766,65.8,83,73,College,142,University of Texas at Dallas,Richardson TX,Public,11806,19727,52,84,64,University 
146,University of North Carolina Asheville,Public,6241,3751,63.8,81,55,College,150,New Jersey Institute of Technology,Newark NJ,Public,15140,9944,63.7,82,54,University 
146,Wartburg College,Private,34250,1747,70.4,80,65,College,150,University of Mississippi,University MS,Public,6760,18794,61.1,82,58,University 
146,Westminster College,Private,21680,1084,71.9,81,70,College,152,Adelphi University,Garden City NY,Private,30800,7859,66.5,81,66,University 
146,William Jewell College,Private,31000,1052,60.9,76,69,College,152,Illinois State University,Normal IL,Public,12573,20706,74,84,71,University 
154,Simpson College,Private,30999,1897,88.7,81,67,College,152,San Diego State University,San Diego CA,Public,6578,31597,31.3,86,67,University 
154,University of Minnesota-Morris,Private,12584,1896,60,82,60,College,152,St. John's University,Queens NY,Private,37260,21087,53.2,78,59,University 
156,Doane College,Private,26180,1149,76.5,76,64,College,152,University of Alabama at Birmingham,Birmingham AL,Public,8904,17999,73.4,80,48,University 
156,Hiram College,Private,30290,1324,61.9,76,63,College,152,University of Rhode Island,Kingston RI,Public,12450,16451,76.9,81,63,University 
156,Illinois College,Private,27800,987,58.1,81,62,College,158,University of Hawaii at Manoa,Honolulu HI,Public,9904,20426,81.2,79,56,University 
156,Purchase College-SUNY,Public,7573,4267,33.4,82,63,College,158,University of Maryland at Baltimore County,Baltimore MD,Public,10068,13637,60.4,85,61,University 
156,Salem College,Private,24566,1165,73.2,79,62,College,158,University of Massachusetts at LowellLowell,MA,Public,12097,16294,65.8,80,54,University 
161,Hartwick College,Private,38930,1558,84.7,75,58,College,161,Maryville University of St. Louis St,Louis MO,Private,25002,4203,71.3,84,70,University 
161,Lycoming College,Private,33756,1365,71.6,81,65,College,161,Texas Tech University,Lubbock TX,Public,8942,32467,64.3,82,62,University 
161,Wesleyan College,Private,19750,709,50.2,81,48,College,161,University of Idaho,Moscow ID,Public,6524,12420,65.7,79,56,University 
161,Xavier University of Louisiana,Private,20560,3178,63.5,67,47,College,161,University of La Verne,La Verne CA,Private,35000,4973,39,83,59,University 
165,Monmouth College,Private,31500,1247,61.5,75,58,College,161,University of Louisville,Louisville KY,Public,9750,21242,76.3,78,52,University 
165,Oglethorpe University,Private,31280,1079,82.7,77,55,College,161,University of Wyoming,Laramie WY,Public,4404,12903,95.7,74,54,University 
167,American Jewish University 1,Private,28496,NA,94.9,90,42,College,167,Florida Institute of Technology,Melbourne FL,Private,36020,5384,59.1,77,55,University 
167,Carthage College,Private,34850,3047,70.1,75,60,College,167,University of Maine,Orono ME,Public,10594,10901,81.1,78,59,University 
167,Centenary College of Louisiana,Private,30740,776,64.1,NA,56,College,167,Virginia Commonwealth University,Richmond VA,Public,12002,31752,60.2,85,57,University 
167,College of Idaho,Private,23725,1059,64.9,81,64,College,170,University of Central Florida,Orlando FL,Public,6317,59767,46.2,87,65,University 
167,Lyon College,Private,23594,600,68.6,65,49,College,170,University of South Florida,Tampa FL,Public,6410,40111,43.2,88,57,University 
167,Warren Wilson College,Private,29540,924,72,68,57,College,170,West Virginia University,Morgantown WV,Public,6456,29707,85.1,79,56,University 
173,Emory and Henry College,Private,28966,945,72.3,73,46,College,173,Azusa Pacific University,Azusa CA,Private,32256,10184,52.3,85,63,University 
173,Guilford College,Private,32470,2462,80,76,57,College,173,Pace University,New York NY,Private,38069,12772,76.8,78,58,University 
173,Ouachita Baptist University,Private,22340,1532,69.1,78,59,College,173,St. Mary's University of Minnesota,Winona MN,Private,29315,5574,79,76,62,University 
176,Albright College,Private,36660,2264,46.7,74,53,College,173,University of North Dakota Grand,Forks ND,Public,7254,15250,73.7,77,54,University 
176,Maryville College,Private,31132,1093,65.7,73,53,College,177,Biola University,La Mirada CA,Private,32142,6302,74.7,85,65,University 
176,Massachusetts College of Liberal Arts,Public,8525,1799,67.2,74,47,College,177,Indiana University of Pennsylvania,Indiana PA,Public,9080,15379,61,75,50,University 
176,Virginia Wesleyan College,Private,32182,1431,85.8,66,48,College,177,Northern Illinois University,DeKalb IL,Public,12952,21869,51.8,72,54,University 
180,Eastern Mennonite University,Private,27970,1519,70.2,78,59,College,177,Southern Illinois University at Carbondale,Carbondale IL,Public,12104,18847,51.4,66,50,University 
180,Northland College,Private,29990,600,66.3,71,54,College,181,Andrews University Berrien,Springs MI,Private,25470,3551,37.5,79,59,University 
,,,,,,,,,181,Ball State,UniversityMuncie IN,Public,9250,21053,61.2,79,57,University 
,,,,,,,,,181,Bowling Green State University Bowling,Green OH,Public,10721,17286,73.6,74,58,University 
,,,,,,,,,181,East Carolina University,Greenville NC,Public,5869,26947,62.2,80,58,University 
,,,,,,,,,181,University of Alabama at Huntsville,Huntsville AL,Public,9192,7636,77.7,77,47,University 
,,,,,,,,,181,University of Nevada at Reno,Reno NV,Public,6154,18227,83,79,54,University 
,,,,,,,,,181,University of New Mexico,Albuquerque NM,Public,7274,29033,64.6,77,46,University 
,,,,,,,,,181,Western Michigan University,Kalamazoo MI,Public,10355,24598,83.3,74,56,University 
,,,,,,,,,181,Widener University,Chester PA,Private,38028,6238,65.5,72,55,University 
,,,,,,,,,190,Central Michigan University Mount,Pleasant MI,Public,11220,27626,63.8,77,58,University 
,,,,,,,,,190,Edgewood College,Madison WI,Private,24666,3064,73.2,78,53,University 
,,,,,,,,,190,Immaculata University,Immaculata PA,Private,30740,4117,79.6,80,53,University 
,,,,,,,,,190,Louisiana Tech University,Ruston LA,Public,7146,11304,70.8,76,47,University 
,,,,,,,,,190,New Mexico State University Las,Cruces NM,Public,6220,17651,80.1,72,44,University 
,,,,,,,,,190,North Dakota State University,Fargo ND,Public,7233,14443,83.6,78,53,University 
,,,,,,,,,190,University of Colorado at Denver,Denver CO,Public,7494,22396,75.9,73,45,University 
,,,,,,,,,190,University of Houston,Houston TX,Public,10272,40747,56.2,81,46,University 
,,,,,,,,,190,University of North Carolina at Greensboro,Greensboro NC,Public,6388,18172,60,77,54,University 
,,,,,,,,,190,University of South Dakota,Vermillion SD,Public,8022,10284,88.6,75,51,University 
,,,,,,,,,190,Utah State University,Logan UT,Public,6183,28786,96.7,72,50,University 
,,,,,,,,,201,Kent State University,Kent OH,Public,9816,28172,83,77,52,University 
,,,,,,,,,201,Montana State University,Bozeman MT,Public,6821,14660,57.6,74,49,University 
,,,,,,,,,201,South Dakota State University,Brookings SD,Public,7708,12583,91.7,76,56,University 
,,,,,,,,,201,University of Missouri at Kansas City,Kansas City MO,Public,9456,16019,67.6,73,48,University 
,,,,,,,,,201,University of Montana,Missoula MT,Public,6276,12479,95.4,73,48,University 
,,,,,,,,,201,University of North Carolina at Charlotte,Charlotte NC,Public,6105,26232,68.5,78,53,University 
